time,pm10,pm2_5,nitrogen_dioxide,ozone,dust,temperature_2m,relative_humidity_2m,wind_speed_10m
2022-01-01T00:00,31.2,14.0,22.6,17.0,0.0,6.8,93,13.9
2022-01-01T01:00,34.6,15.4,22.5,6.0,0.0,6.2,95,8.6
2022-01-01T02:00,31.6,18.6,18.0,4.0,1.0,6.6,95,6.6
2022-01-01T03:00,40.3,33.2,16.3,5.0,1.0,6.6,95,8.6
2022-01-01T04:00,32.6,23.2,19.2,9.0,1.0,6.8,95,11.2
2022-01-01T05:00,23.0,19.1,20.3,9.0,1.0,5.9,96,11.2
2022-01-01T06:00,20.7,17.2,18.9,6.0,1.0,5.2,97,10.4
2022-01-01T07:00,20.4,19.6,19.0,5.0,0.0,4.8,97,11.2
2022-01-01T08:00,20.0,18.4,17.4,6.0,0.0,4.8,96,8.7
2022-01-01T09:00,19.0,17.5,13.8,9.0,0.0,5.8,93,7.6
2022-01-01T10:00,18.4,15.7,13.3,12.0,1.0,7.3,91,5.8
2022-01-01T11:00,17.3,13.9,12.0,20.0,1.0,9.2,86,4.8
2022-01-01T12:00,14.3,12.2,11.8,24.0,1.0,11.1,80,10.1
2022-01-01T13:00,14.4,11.5,12.2,26.0,1.0,11.8,80,9.4
2022-01-01T14:00,12.3,10.5,13.3,28.0,1.0,11.8,81,9.0
2022-01-01T15:00,12.9,11.0,17.2,27.0,1.0,10.6,82,8.7
2022-01-01T16:00,15.7,12.5,23.2,17.0,1.0,8.6,87,8.1
2022-01-01T17:00,21.4,14.8,35.6,9.0,1.0,8.0,89,7.9
2022-01-01T18:00,27.5,18.5,37.0,7.0,1.0,7.1,92,7.6
2022-01-01T19:00,27.6,23.6,37.6,7.0,1.0,6.8,92,9.4
2022-01-01T20:00,30.4,25.1,32.3,5.0,1.0,6.5,93,11.0
2022-01-01T21:00,28.5,22.3,29.1,5.0,1.0,6.0,93,10.9
2022-01-01T22:00,27.7,22.4,27.5,3.0,1.0,5.3,90,12.5
2022-01-01T23:00,28.0,23.0,25.1,4.0,1.0,4.9,85,12.1
2022-01-02T00:00,22.7,19.0,25.0,4.0,0.0,5.2,90,11.6
2022-01-02T01:00,20.2,17.2,28.3,7.0,0.0,4.3,94,12.4
2022-01-02T02:00,19.7,16.7,28.1,8.0,1.0,4.4,93,14.2
2022-01-02T03:00,18.5,15.6,27.3,11.0,1.0,4.7,90,15.9
2022-01-02T04:00,17.8,15.3,25.1,15.0,1.0,5.2,86,14.8
2022-01-02T05:00,16.1,13.8,23.1,20.0,1.0,4.8,88,14.2
2022-01-02T06:00,17.8,13.6,20.2,18.0,1.0,5.1,84,14.6
2022-01-02T07:00,16.7,12.3,21.0,18.0,1.0,5.8,78,14.8
2022-01-02T08:00,16.9,11.6,19.5,16.0,1.0,6.0,76,13.8
2022-01-02T09:00,14.3,11.6,19.4,23.0,1.0,7.1,72,16.1
2022-01-02T10:00,14.0,11.1,17.6,20.0,1.0,8.1,68,14.5
2022-01-02T11:00,11.6,9.6,17.3,18.0,1.0,8.7,66,21.6
2022-01-02T12:00,10.4,8.7,18.2,25.0,1.0,9.9,71,19.1
2022-01-02T13:00,10.2,8.3,15.0,32.0,1.0,11.4,69,18.8
2022-01-02T14:00,9.1,7.4,12.8,36.0,1.0,12.2,69,16.2
2022-01-02T15:00,9.0,7.1,13.5,36.0,1.0,11.1,72,14.3
2022-01-02T16:00,10.8,7.4,15.7,36.0,1.0,10.1,74,13.0
2022-01-02T17:00,11.7,8.1,17.4,36.0,1.0,9.4,76,14.0
2022-01-02T18:00,14.8,9.6,17.5,35.0,2.0,8.7,78,13.1
2022-01-02T19:00,14.0,9.5,12.5,37.0,1.0,8.3,79,11.6
2022-01-02T20:00,11.0,7.7,8.5,46.0,1.0,8.6,75,12.4
2022-01-02T21:00,8.3,6.1,7.7,54.0,1.0,9.4,72,13.2
2022-01-02T22:00,7.1,5.1,6.0,60.0,1.0,9.9,72,13.4
2022-01-02T23:00,6.3,4.0,4.5,62.0,0.0,11.0,73,17.6
2022-01-03T00:00,5.9,4.0,4.7,63.0,0.0,11.1,75,22.1
2022-01-03T01:00,5.5,3.7,3.6,66.0,0.0,11.9,72,25.3
2022-01-03T02:00,5.4,3.7,3.3,62.0,0.0,11.9,71,24.0
2022-01-03T03:00,5.6,3.8,3.1,61.0,0.0,11.1,72,21.3
2022-01-03T04:00,6.2,3.9,2.8,64.0,0.0,10.4,74,18.8
2022-01-03T05:00,6.3,4.0,3.9,63.0,0.0,10.4,76,17.2
2022-01-03T06:00,7.4,4.4,6.2,62.0,0.0,10.6,77,16.8
2022-01-03T07:00,7.6,5.1,10.1,58.0,0.0,9.9,79,12.2
2022-01-03T08:00,7.8,5.4,10.6,62.0,0.0,9.9,80,13.2
2022-01-03T09:00,8.1,5.6,9.2,64.0,0.0,9.9,82,16.4
2022-01-03T10:00,8.3,5.7,11.6,64.0,0.0,9.7,85,15.2
2022-01-03T11:00,8.0,4.8,11.3,65.0,0.0,10.5,82,16.6
2022-01-03T12:00,7.7,4.7,11.0,64.0,0.0,11.2,77,18.5
2022-01-03T13:00,7.5,4.6,10.2,64.0,0.0,11.2,78,18.3
2022-01-03T14:00,7.4,4.7,9.3,63.0,0.0,11.3,75,20.9
2022-01-03T15:00,7.7,4.7,10.8,60.0,0.0,11.4,73,20.0
2022-01-03T16:00,8.5,5.2,14.2,57.0,0.0,10.7,74,18.4
2022-01-03T17:00,7.6,4.9,16.0,58.0,0.0,10.7,76,20.4
2022-01-03T18:00,8.0,5.6,14.8,60.0,0.0,10.6,77,21.6
2022-01-03T19:00,7.6,5.3,13.9,58.0,0.0,10.3,79,19.7
2022-01-03T20:00,7.1,4.8,10.2,58.0,0.0,9.8,82,19.8
2022-01-03T21:00,6.4,5.1,9.8,58.0,0.0,9.7,82,23.1
2022-01-03T22:00,5.9,5.1,8.9,56.0,0.0,9.7,84,23.7
2022-01-03T23:00,5.4,4.3,7.8,57.0,0.0,9.4,88,20.0
2022-01-04T00:00,5.2,3.9,7.3,59.0,0.0,9.6,92,22.1
2022-01-04T01:00,5.4,4.5,6.8,58.0,0.0,10.1,90,23.1
2022-01-04T02:00,4.8,4.1,5.8,61.0,0.0,10.6,87,24.7
2022-01-04T03:00,4.8,4.5,5.1,64.0,0.0,10.4,89,26.1
2022-01-04T04:00,4.8,4.3,4.3,65.0,0.0,10.4,88,26.7
2022-01-04T05:00,4.8,4.3,4.4,64.0,0.0,10.2,90,23.2
2022-01-04T06:00,4.9,4.7,5.6,64.0,0.0,10.2,90,21.0
2022-01-04T07:00,4.9,5.0,9.1,64.0,0.0,10.8,89,20.5
2022-01-04T08:00,4.6,4.5,9.5,61.0,0.0,11.4,85,22.5
2022-01-04T09:00,5.3,5.0,7.7,61.0,0.0,12.2,80,19.8
2022-01-04T10:00,5.6,5.0,6.3,60.0,0.0,12.6,75,18.0
2022-01-04T11:00,5.5,4.9,6.2,59.0,0.0,12.2,79,17.6
2022-01-04T12:00,6.1,4.3,7.1,58.0,1.0,12.6,81,17.7
2022-01-04T13:00,5.6,4.7,7.6,57.0,1.0,11.5,88,17.3
2022-01-04T14:00,5.7,5.1,10.1,57.0,0.0,7.9,88,17.7
2022-01-04T15:00,5.6,4.8,11.2,60.0,0.0,8.1,89,11.5
2022-01-04T16:00,4.9,4.4,13.5,66.0,0.0,7.5,91,9.5
2022-01-04T17:00,6.9,5.0,14.1,66.0,0.0,6.9,93,9.8
2022-01-04T18:00,5.7,4.7,17.0,63.0,0.0,6.4,92,4.3
2022-01-04T19:00,5.8,5.1,19.2,56.0,0.0,6.3,94,3.6
2022-01-04T20:00,6.2,5.4,18.2,57.0,0.0,6.1,94,10.9
2022-01-04T21:00,6.3,4.5,12.9,60.0,0.0,6.4,94,18.0
2022-01-04T22:00,4.8,4.5,9.6,67.0,0.0,6.2,90,16.7
2022-01-04T23:00,4.1,3.7,7.2,68.0,0.0,6.1,89,17.1
2022-01-05T00:00,3.6,3.1,5.5,70.0,0.0,5.7,91,18.5
2022-01-05T01:00,3.6,3.5,5.2,70.0,0.0,5.2,92,21.8
2022-01-05T02:00,4.1,3.4,5.5,69.0,0.0,5.8,91,20.3
